Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 3.60 (s),   Velocity: 2.86 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.51 (m),   Y:  1.93 (m),   Rot: -0.8730 (rads),   Rot:  -50.02 (deg),   Curve:   -0.50 (rads/m)
Time: 3.62 (s),   Velocity: 2.84 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.55 (m),   Y:  1.87 (m),   Rot: -0.9086 (rads),   Rot:  -52.06 (deg),   Curve:   -0.47 (rads/m)
Time: 3.65 (s),   Velocity: 2.81 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.60 (m),   Y:  1.81 (m),   Rot: -0.9410 (rads),   Rot:  -53.92 (deg),   Curve:   -0.43 (rads/m)
Time: 3.68 (s),   Velocity: 2.78 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.64 (m),   Y:  1.76 (m),   Rot: -0.9702 (rads),   Rot:  -55.59 (deg),   Curve:   -0.39 (rads/m)
Time: 3.70 (s),   Velocity: 2.76 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.68 (m),   Y:  1.70 (m),   Rot: -0.9959 (rads),   Rot:  -57.06 (deg),   Curve:   -0.34 (rads/m)
Time: 3.73 (s),   Velocity: 2.73 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.71 (m),   Y:  1.64 (m),   Rot: -1.0182 (rads),   Rot:  -58.34 (deg),   Curve:   -0.30 (rads/m)
Time: 3.75 (s),   Velocity: 2.71 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.75 (m),   Y:  1.58 (m),   Rot: -1.0369 (rads),   Rot:  -59.41 (deg),   Curve:   -0.25 (rads/m)
Time: 3.78 (s),   Velocity: 2.68 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.78 (m),   Y:  1.52 (m),   Rot: -1.0520 (rads),   Rot:  -60.28 (deg),   Curve:   -0.20 (rads/m)
Time: 3.80 (s),   Velocity: 2.66 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.82 (m),   Y:  1.46 (m),   Rot: -1.0633 (rads),   Rot:  -60.92 (deg),   Curve:   -0.14 (rads/m)
Time: 3.83 (s),   Velocity: 2.63 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.85 (m),   Y:  1.40 (m),   Rot: -1.0707 (rads),   Rot:  -61.35 (deg),   Curve:   -0.08 (rads/m)
Time: 3.85 (s),   Velocity: 2.61 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.88 (m),   Y:  1.35 (m),   Rot: -1.0740 (rads),   Rot:  -61.53 (deg),   Curve:   -0.02 (rads/m)
Time: 3.88 (s),   Velocity: 2.58 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.91 (m),   Y:  1.29 (m),   Rot: -1.0729 (rads),   Rot:  -61.47 (deg),   Curve:    0.05 (rads/m)
Time: 3.92 (s),   Velocity: 2.54 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.97 (m),   Y:  1.19 (m),   Rot: -1.0563 (rads),   Rot:  -60.52 (deg),   Curve:    0.23 (rads/m)
Time: 3.97 (s),   Velocity: 2.49 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.03 (m),   Y:  1.09 (m),   Rot: -1.0176 (rads),   Rot:  -58.30 (deg),   Curve:    0.46 (rads/m)
Time: 4.01 (s),   Velocity: 2.45 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.08 (m),   Y:  1.00 (m),   Rot: -0.9517 (rads),   Rot:  -54.53 (deg),   Curve:    0.78 (rads/m)
Time: 4.03 (s),   Velocity: 2.43 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.12 (m),   Y:  0.96 (m),   Rot: -0.9066 (rads),   Rot:  -51.95 (deg),   Curve:    0.98 (rads/m)
Time: 4.05 (s),   Velocity: 2.41 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.15 (m),   Y:  0.92 (m),   Rot: -0.8523 (rads),   Rot:  -48.83 (deg),   Curve:    1.22 (rads/m)
Time: 4.07 (s),   Velocity: 2.39 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.18 (m),   Y:  0.88 (m),   Rot: -0.7879 (rads),   Rot:  -45.14 (deg),   Curve:    1.48 (rads/m)
Time: 4.09 (s),   Velocity: 2.37 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.21 (m),   Y:  0.85 (m),   Rot: -0.7129 (rads),   Rot:  -40.85 (deg),   Curve:    1.76 (rads/m)
Time: 4.11 (s),   Velocity: 2.35 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.25 (m),   Y:  0.82 (m),   Rot: -0.6272 (rads),   Rot:  -35.93 (deg),   Curve:    2.03 (rads/m)
Time: 4.12 (s),   Velocity: 2.34 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.27 (m),   Y:  0.81 (m),   Rot: -0.5805 (rads),   Rot:  -33.26 (deg),   Curve:    2.16 (rads/m)
Time: 4.13 (s),   Velocity: 2.33 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.29 (m),   Y:  0.80 (m),   Rot: -0.5314 (rads),   Rot:  -30.45 (deg),   Curve:    2.28 (rads/m)
Time: 4.14 (s),   Velocity: 2.32 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.31 (m),   Y:  0.79 (m),   Rot: -0.4802 (rads),   Rot:  -27.52 (deg),   Curve:    2.37 (rads/m)
Time: 4.15 (s),   Velocity: 2.31 (m/s),   Accel:  -1.00 (m/s/s),   X:  7.32 (m),   Y:  0.78 (m),   Rot: -0.4273 (rads),   Rot:  -24.48 (deg),   Curve:    2.45 (rads/m)
Time: 4.16 (s),   Velocity: 2.30 (m/s),   Accel:   0.61 (m/s/s),   X:  7.35 (m),   Y:  0.77 (m),   Rot: -0.3729 (rads),   Rot:  -21.36 (deg),   Curve:    2.50 (rads/m)
Time: 4.17 (s),   Velocity: 2.31 (m/s),   Accel:   1.00 (m/s/s),   X:  7.37 (m),   Y:  0.76 (m),   Rot: -0.3174 (rads),   Rot:  -18.19 (deg),   Curve:    2.51 (rads/m)
Time: 4.18 (s),   Velocity: 2.32 (m/s),   Accel:   1.00 (m/s/s),   X:  7.39 (m),   Y:  0.76 (m),   Rot: -0.2628 (rads),   Rot:  -15.06 (deg),   Curve:    2.39 (rads/m)
Time: 4.19 (s),   Velocity: 2.32 (m/s),   Accel:   1.00 (m/s/s),   X:  7.41 (m),   Y:  0.75 (m),   Rot: -0.2104 (rads),   Rot:  -12.06 (deg),   Curve:    2.26 (rads/m)
Time: 4.20 (s),   Velocity: 2.33 (m/s),   Accel:   1.00 (m/s/s),   X:  7.43 (m),   Y:  0.75 (m),   Rot: -0.1604 (rads),   Rot:   -9.19 (deg),   Curve:    2.13 (rads/m)
Time: 4.21 (s),   Velocity: 2.34 (m/s),   Accel:   1.00 (m/s/s),   X:  7.45 (m),   Y:  0.74 (m),   Rot: -0.1126 (rads),   Rot:   -6.45 (deg),   Curve:    2.00 (rads/m)
Time: 4.22 (s),   Velocity: 2.35 (m/s),   Accel:   1.00 (m/s/s),   X:  7.48 (m),   Y:  0.74 (m),   Rot: -0.0672 (rads),   Rot:   -3.85 (deg),   Curve:    1.88 (rads/m)
Time: 4.23 (s),   Velocity: 2.36 (m/s),   Accel:   1.00 (m/s/s),   X:  7.50 (m),   Y:  0.74 (m),   Rot: -0.0240 (rads),   Rot:   -1.38 (deg),   Curve:    1.76 (rads/m)
Time: 4.25 (s),   Velocity: 2.39 (m/s),   Accel:   1.00 (m/s/s),   X:  7.55 (m),   Y:  0.74 (m),   Rot:  0.0561 (rads),   Rot:    3.22 (deg),   Curve:    1.54 (rads/m)
Time: 4.27 (s),   Velocity: 2.41 (m/s),   Accel:   1.00 (m/s/s),   X:  7.60 (m),   Y:  0.75 (m),   Rot:  0.1286 (rads),   Rot:    7.37 (deg),   Curve:    1.35 (rads/m)
Time: 4.29 (s),   Velocity: 2.43 (m/s),   Accel:   1.00 (m/s/s),   X:  7.65 (m),   Y:  0.75 (m),   Rot:  0.1944 (rads),   Rot:   11.14 (deg),   Curve:    1.19 (rads/m)
Time: 4.31 (s),   Velocity: 2.45 (m/s),   Accel:   1.00 (m/s/s),   X:  7.70 (m),   Y:  0.77 (m),   Rot:  0.2545 (rads),   Rot:   14.58 (deg),   Curve:    1.06 (rads/m)
Time: 4.34 (s),   Velocity: 2.47 (m/s),   Accel:   1.00 (m/s/s),   X:  7.76 (m),   Y:  0.78 (m),   Rot:  0.3097 (rads),   Rot:   17.74 (deg),   Curve:    0.95 (rads/m)
