Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 0.89 (s),   Velocity: 2.66 (m/s),   Accel:   3.00 (m/s/s),   X:  1.56 (m),   Y:  0.70 (m),   Rot: -0.0898 (rads),   Rot:   -5.15 (deg),   Curve:   -0.04 (rads/m)
Time: 0.92 (s),   Velocity: 2.75 (m/s),   Accel:   3.00 (m/s/s),   X:  1.64 (m),   Y:  0.69 (m),   Rot: -0.0927 (rads),   Rot:   -5.31 (deg),   Curve:   -0.03 (rads/m)
Time: 0.94 (s),   Velocity: 2.83 (m/s),   Accel:   3.00 (m/s/s),   X:  1.71 (m),   Y:  0.69 (m),   Rot: -0.0951 (rads),   Rot:   -5.45 (deg),   Curve:   -0.03 (rads/m)
Time: 0.97 (s),   Velocity: 2.91 (m/s),   Accel:   3.00 (m/s/s),   X:  1.79 (m),   Y:  0.68 (m),   Rot: -0.0972 (rads),   Rot:   -5.57 (deg),   Curve:   -0.02 (rads/m)
Time: 1.00 (s),   Velocity: 2.99 (m/s),   Accel:   3.00 (m/s/s),   X:  1.87 (m),   Y:  0.67 (m),   Rot: -0.0988 (rads),   Rot:   -5.66 (deg),   Curve:   -0.02 (rads/m)
Time: 1.02 (s),   Velocity: 3.06 (m/s),   Accel:   3.00 (m/s/s),   X:  1.94 (m),   Y:  0.66 (m),   Rot: -0.1001 (rads),   Rot:   -5.74 (deg),   Curve:   -0.01 (rads/m)
Time: 1.05 (s),   Velocity: 3.14 (m/s),   Accel:   3.00 (m/s/s),   X:  2.02 (m),   Y:  0.66 (m),   Rot: -0.1010 (rads),   Rot:   -5.79 (deg),   Curve:   -0.01 (rads/m)
Time: 1.07 (s),   Velocity: 3.21 (m/s),   Accel:   3.00 (m/s/s),   X:  2.09 (m),   Y:  0.65 (m),   Rot: -0.1015 (rads),   Rot:   -5.81 (deg),   Curve:   -0.00 (rads/m)
Time: 1.09 (s),   Velocity: 3.28 (m/s),   Accel:   3.00 (m/s/s),   X:  2.17 (m),   Y:  0.64 (m),   Rot: -0.1016 (rads),   Rot:   -5.82 (deg),   Curve:    0.00 (rads/m)
Time: 1.12 (s),   Velocity: 3.35 (m/s),   Accel:   3.00 (m/s/s),   X:  2.24 (m),   Y:  0.63 (m),   Rot: -0.1012 (rads),   Rot:   -5.80 (deg),   Curve:    0.01 (rads/m)
Time: 1.14 (s),   Velocity: 3.41 (m/s),   Accel:   3.00 (m/s/s),   X:  2.32 (m),   Y:  0.63 (m),   Rot: -0.1004 (rads),   Rot:   -5.75 (deg),   Curve:    0.01 (rads/m)
Time: 1.16 (s),   Velocity: 3.48 (m/s),   Accel:   3.00 (m/s/s),   X:  2.39 (m),   Y:  0.62 (m),   Rot: -0.0992 (rads),   Rot:   -5.69 (deg),   Curve:    0.02 (rads/m)
Time: 1.18 (s),   Velocity: 3.54 (m/s),   Accel:   3.00 (m/s/s),   X:  2.46 (m),   Y:  0.61 (m),   Rot: -0.0976 (rads),   Rot:   -5.59 (deg),   Curve:    0.03 (rads/m)
