Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.69 (s),   Velocity: 2.08 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.43 (m),   Y:  3.63 (m),   Rot:  1.1939 (rads),   Rot:   68.40 (deg),   Curve:   -1.62 (rads/m)
Time: 2.70 (s),   Velocity: 2.03 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.44 (m),   Y:  3.66 (m),   Rot:  1.1319 (rads),   Rot:   64.85 (deg),   Curve:   -1.98 (rads/m)
Time: 2.72 (s),   Velocity: 1.98 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.45 (m),   Y:  3.69 (m),   Rot:  1.0572 (rads),   Rot:   60.58 (deg),   Curve:   -2.39 (rads/m)
Time: 2.73 (s),   Velocity: 1.95 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.46 (m),   Y:  3.71 (m),   Rot:  1.0148 (rads),   Rot:   58.14 (deg),   Curve:   -2.61 (rads/m)
Time: 2.74 (s),   Velocity: 1.93 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.47 (m),   Y:  3.72 (m),   Rot:  0.9688 (rads),   Rot:   55.51 (deg),   Curve:   -2.83 (rads/m)
Time: 2.75 (s),   Velocity: 1.90 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.48 (m),   Y:  3.73 (m),   Rot:  0.9193 (rads),   Rot:   52.67 (deg),   Curve:   -3.05 (rads/m)
Time: 2.76 (s),   Velocity: 1.87 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.49 (m),   Y:  3.75 (m),   Rot:  0.8663 (rads),   Rot:   49.63 (deg),   Curve:   -3.27 (rads/m)
Time: 2.76 (s),   Velocity: 1.85 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.50 (m),   Y:  3.76 (m),   Rot:  0.8098 (rads),   Rot:   46.40 (deg),   Curve:   -3.46 (rads/m)
Time: 2.77 (s),   Velocity: 1.82 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.52 (m),   Y:  3.77 (m),   Rot:  0.7501 (rads),   Rot:   42.98 (deg),   Curve:   -3.64 (rads/m)
Time: 2.78 (s),   Velocity: 1.79 (m/s),   Accel:  -2.29 (m/s/s),   X:  4.53 (m),   Y:  3.78 (m),   Rot:  0.6876 (rads),   Rot:   39.40 (deg),   Curve:   -3.77 (rads/m)
Time: 2.79 (s),   Velocity: 1.77 (m/s),   Accel:  -0.47 (m/s/s),   X:  4.54 (m),   Y:  3.79 (m),   Rot:  0.6227 (rads),   Rot:   35.68 (deg),   Curve:   -3.86 (rads/m)
Time: 2.80 (s),   Velocity: 1.76 (m/s),   Accel:   1.40 (m/s/s),   X:  4.56 (m),   Y:  3.80 (m),   Rot:  0.5559 (rads),   Rot:   31.85 (deg),   Curve:   -3.90 (rads/m)
Time: 2.81 (s),   Velocity: 1.78 (m/s),   Accel:   3.00 (m/s/s),   X:  4.57 (m),   Y:  3.81 (m),   Rot:  0.4879 (rads),   Rot:   27.96 (deg),   Curve:   -3.87 (rads/m)
Time: 2.82 (s),   Velocity: 1.81 (m/s),   Accel:   3.00 (m/s/s),   X:  4.59 (m),   Y:  3.82 (m),   Rot:  0.4222 (rads),   Rot:   24.19 (deg),   Curve:   -3.50 (rads/m)
Time: 2.83 (s),   Velocity: 1.84 (m/s),   Accel:   3.00 (m/s/s),   X:  4.60 (m),   Y:  3.82 (m),   Rot:  0.3618 (rads),   Rot:   20.73 (deg),   Curve:   -3.12 (rads/m)
