Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.44 (s),   Velocity: 2.44 (m/s),   Accel:   1.00 (m/s/s),   X:  3.92 (m),   Y:  2.26 (m),   Rot: -0.3249 (rads),   Rot:  -18.62 (deg),   Curve:   -1.09 (rads/m)
Time: 2.46 (s),   Velocity: 2.46 (m/s),   Accel:   1.00 (m/s/s),   X:  3.97 (m),   Y:  2.24 (m),   Rot: -0.3846 (rads),   Rot:  -22.04 (deg),   Curve:   -1.15 (rads/m)
Time: 2.48 (s),   Velocity: 2.48 (m/s),   Accel:   1.00 (m/s/s),   X:  4.02 (m),   Y:  2.22 (m),   Rot: -0.4455 (rads),   Rot:  -25.53 (deg),   Curve:   -1.21 (rads/m)
Time: 2.50 (s),   Velocity: 2.50 (m/s),   Accel:   1.00 (m/s/s),   X:  4.06 (m),   Y:  2.19 (m),   Rot: -0.5075 (rads),   Rot:  -29.08 (deg),   Curve:   -1.26 (rads/m)
Time: 2.52 (s),   Velocity: 2.52 (m/s),   Accel:   1.00 (m/s/s),   X:  4.10 (m),   Y:  2.17 (m),   Rot: -0.5702 (rads),   Rot:  -32.67 (deg),   Curve:   -1.31 (rads/m)
Time: 2.54 (s),   Velocity: 2.54 (m/s),   Accel:   1.00 (m/s/s),   X:  4.14 (m),   Y:  2.14 (m),   Rot: -0.6335 (rads),   Rot:  -36.29 (deg),   Curve:   -1.35 (rads/m)
Time: 2.56 (s),   Velocity: 2.56 (m/s),   Accel:   1.00 (m/s/s),   X:  4.18 (m),   Y:  2.11 (m),   Rot: -0.6970 (rads),   Rot:  -39.94 (deg),   Curve:   -1.38 (rads/m)
Time: 2.58 (s),   Velocity: 2.58 (m/s),   Accel:   1.00 (m/s/s),   X:  4.21 (m),   Y:  2.08 (m),   Rot: -0.7606 (rads),   Rot:  -43.58 (deg),   Curve:   -1.41 (rads/m)
Time: 2.59 (s),   Velocity: 2.59 (m/s),   Accel:   1.00 (m/s/s),   X:  4.24 (m),   Y:  2.05 (m),   Rot: -0.8242 (rads),   Rot:  -47.22 (deg),   Curve:   -1.44 (rads/m)
Time: 2.61 (s),   Velocity: 2.61 (m/s),   Accel:   1.00 (m/s/s),   X:  4.27 (m),   Y:  2.02 (m),   Rot: -0.8874 (rads),   Rot:  -50.84 (deg),   Curve:   -1.45 (rads/m)
Time: 2.63 (s),   Velocity: 2.63 (m/s),   Accel:   1.00 (m/s/s),   X:  4.30 (m),   Y:  1.98 (m),   Rot: -0.9502 (rads),   Rot:  -54.44 (deg),   Curve:   -1.46 (rads/m)
Time: 2.64 (s),   Velocity: 2.64 (m/s),   Accel:  -0.95 (m/s/s),   X:  4.32 (m),   Y:  1.95 (m),   Rot: -1.0126 (rads),   Rot:  -58.02 (deg),   Curve:   -1.47 (rads/m)
