Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 3.25 (s),   Velocity: 3.09 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.41 (m),   Y:  3.15 (m),   Rot: -0.0914 (rads),   Rot:   -5.24 (deg),   Curve:   -0.01 (rads/m)
Time: 3.30 (s),   Velocity: 2.96 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.54 (m),   Y:  3.13 (m),   Rot: -0.0917 (rads),   Rot:   -5.25 (deg),   Curve:    0.00 (rads/m)
Time: 3.32 (s),   Velocity: 2.90 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.60 (m),   Y:  3.13 (m),   Rot: -0.0912 (rads),   Rot:   -5.23 (deg),   Curve:    0.01 (rads/m)
Time: 3.34 (s),   Velocity: 2.83 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.66 (m),   Y:  3.12 (m),   Rot: -0.0904 (rads),   Rot:   -5.18 (deg),   Curve:    0.02 (rads/m)
Time: 3.36 (s),   Velocity: 2.76 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.73 (m),   Y:  3.12 (m),   Rot: -0.0892 (rads),   Rot:   -5.11 (deg),   Curve:    0.02 (rads/m)
Time: 3.39 (s),   Velocity: 2.69 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.79 (m),   Y:  3.11 (m),   Rot: -0.0877 (rads),   Rot:   -5.02 (deg),   Curve:    0.03 (rads/m)
Time: 3.41 (s),   Velocity: 2.62 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.86 (m),   Y:  3.11 (m),   Rot: -0.0857 (rads),   Rot:   -4.91 (deg),   Curve:    0.03 (rads/m)
Time: 3.44 (s),   Velocity: 2.54 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.92 (m),   Y:  3.10 (m),   Rot: -0.0834 (rads),   Rot:   -4.78 (deg),   Curve:    0.04 (rads/m)
Time: 3.46 (s),   Velocity: 2.46 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.99 (m),   Y:  3.09 (m),   Rot: -0.0808 (rads),   Rot:   -4.63 (deg),   Curve:    0.04 (rads/m)
Time: 3.49 (s),   Velocity: 2.38 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.05 (m),   Y:  3.09 (m),   Rot: -0.0778 (rads),   Rot:   -4.46 (deg),   Curve:    0.05 (rads/m)
Time: 3.52 (s),   Velocity: 2.30 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.12 (m),   Y:  3.08 (m),   Rot: -0.0745 (rads),   Rot:   -4.27 (deg),   Curve:    0.05 (rads/m)
Time: 3.55 (s),   Velocity: 2.21 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.18 (m),   Y:  3.08 (m),   Rot: -0.0708 (rads),   Rot:   -4.06 (deg),   Curve:    0.06 (rads/m)
Time: 3.58 (s),   Velocity: 2.11 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.25 (m),   Y:  3.08 (m),   Rot: -0.0668 (rads),   Rot:   -3.83 (deg),   Curve:    0.06 (rads/m)
Time: 3.61 (s),   Velocity: 2.02 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.32 (m),   Y:  3.07 (m),   Rot: -0.0624 (rads),   Rot:   -3.57 (deg),   Curve:    0.07 (rads/m)
Time: 3.65 (s),   Velocity: 1.92 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.38 (m),   Y:  3.07 (m),   Rot: -0.0577 (rads),   Rot:   -3.30 (deg),   Curve:    0.07 (rads/m)
Time: 3.68 (s),   Velocity: 1.81 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.45 (m),   Y:  3.06 (m),   Rot: -0.0526 (rads),   Rot:   -3.02 (deg),   Curve:    0.08 (rads/m)
Time: 3.72 (s),   Velocity: 1.69 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.52 (m),   Y:  3.06 (m),   Rot: -0.0472 (rads),   Rot:   -2.71 (deg),   Curve:    0.08 (rads/m)
Time: 3.76 (s),   Velocity: 1.57 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.59 (m),   Y:  3.06 (m),   Rot: -0.0415 (rads),   Rot:   -2.38 (deg),   Curve:    0.09 (rads/m)
Time: 3.81 (s),   Velocity: 1.43 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.65 (m),   Y:  3.05 (m),   Rot: -0.0354 (rads),   Rot:   -2.03 (deg),   Curve:    0.09 (rads/m)
Time: 3.86 (s),   Velocity: 1.28 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.72 (m),   Y:  3.05 (m),   Rot: -0.0290 (rads),   Rot:   -1.66 (deg),   Curve:    0.10 (rads/m)
Time: 3.91 (s),   Velocity: 1.11 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.79 (m),   Y:  3.05 (m),   Rot: -0.0223 (rads),   Rot:   -1.28 (deg),   Curve:    0.10 (rads/m)
Time: 3.98 (s),   Velocity: 0.91 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.86 (m),   Y:  3.05 (m),   Rot: -0.0152 (rads),   Rot:   -0.87 (deg),   Curve:    0.11 (rads/m)
Time: 4.07 (s),   Velocity: 0.64 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.93 (m),   Y:  3.05 (m),   Rot: -0.0078 (rads),   Rot:   -0.44 (deg),   Curve:    0.11 (rads/m)
Time: 4.28 (s),   Velocity: 0.00 (m/s),   Accel:  -3.00 (m/s/s),   X:  9.00 (m),   Y:  3.05 (m),   Rot: -0.0000 (rads),   Rot:   -0.00 (deg),   Curve:    0.12 (rads/m)


Trajectory Summary: Total Seconds: 4.28 (s); Total points in the Trajectory: 137
<EOF>
