Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.18 (s),   Velocity: 3.18 (m/s),   Accel: -10.00 (m/s/s),   X:  1.79 (m),   Y: -1.76 (m),   Rot: -1.2691 (rads),   Rot:  -72.71 (deg),   Curve:    0.03 (rads/m)
Time: 2.20 (s),   Velocity: 2.97 (m/s),   Accel: -10.00 (m/s/s),   X:  1.81 (m),   Y: -1.82 (m),   Rot: -1.2666 (rads),   Rot:  -72.57 (deg),   Curve:    0.05 (rads/m)
Time: 2.24 (s),   Velocity: 2.55 (m/s),   Accel: -10.00 (m/s/s),   X:  1.85 (m),   Y: -1.93 (m),   Rot: -1.2576 (rads),   Rot:  -72.05 (deg),   Curve:    0.11 (rads/m)
Time: 2.28 (s),   Velocity: 2.12 (m/s),   Accel: -10.00 (m/s/s),   X:  1.88 (m),   Y: -2.03 (m),   Rot: -1.2411 (rads),   Rot:  -71.11 (deg),   Curve:    0.23 (rads/m)
Time: 2.33 (s),   Velocity: 1.67 (m/s),   Accel: -10.00 (m/s/s),   X:  1.91 (m),   Y: -2.11 (m),   Rot: -1.2117 (rads),   Rot:  -69.42 (deg),   Curve:    0.52 (rads/m)
Time: 2.37 (s),   Velocity: 1.22 (m/s),   Accel: -10.00 (m/s/s),   X:  1.93 (m),   Y: -2.17 (m),   Rot: -1.1561 (rads),   Rot:  -66.24 (deg),   Curve:    1.40 (rads/m)
Time: 2.39 (s),   Velocity: 0.99 (m/s),   Accel: -10.00 (m/s/s),   X:  1.94 (m),   Y: -2.19 (m),   Rot: -1.1080 (rads),   Rot:  -63.48 (deg),   Curve:    2.60 (rads/m)
Time: 2.42 (s),   Velocity: 0.76 (m/s),   Accel: -10.00 (m/s/s),   X:  1.95 (m),   Y: -2.21 (m),   Rot: -1.0317 (rads),   Rot:  -59.11 (deg),   Curve:    5.46 (rads/m)
Time: 2.43 (s),   Velocity: 0.65 (m/s),   Accel: -10.00 (m/s/s),   X:  1.96 (m),   Y: -2.22 (m),   Rot: -0.9751 (rads),   Rot:  -55.87 (deg),   Curve:    8.45 (rads/m)
Time: 2.44 (s),   Velocity: 0.52 (m/s),   Accel: -10.00 (m/s/s),   X:  1.96 (m),   Y: -2.22 (m),   Rot: -0.8979 (rads),   Rot:  -51.44 (deg),   Curve:   13.81 (rads/m)
Time: 2.45 (s),   Velocity: 0.46 (m/s),   Accel: -10.00 (m/s/s),   X:  1.96 (m),   Y: -2.23 (m),   Rot: -0.8482 (rads),   Rot:  -48.60 (deg),   Curve:   18.06 (rads/m)
Time: 2.45 (s),   Velocity: 0.39 (m/s),   Accel: -10.00 (m/s/s),   X:  1.96 (m),   Y: -2.23 (m),   Rot: -0.7885 (rads),   Rot:  -45.18 (deg),   Curve:   23.97 (rads/m)
Time: 2.46 (s),   Velocity: 0.32 (m/s),   Accel: -10.00 (m/s/s),   X:  1.97 (m),   Y: -2.23 (m),   Rot: -0.7161 (rads),   Rot:  -41.03 (deg),   Curve:   32.26 (rads/m)
Time: 2.47 (s),   Velocity: 0.28 (m/s),   Accel:  -8.44 (m/s/s),   X:  1.97 (m),   Y: -2.23 (m),   Rot: -0.6741 (rads),   Rot:  -38.63 (deg),   Curve:   37.58 (rads/m)
Time: 2.47 (s),   Velocity: 0.24 (m/s),   Accel:  -6.71 (m/s/s),   X:  1.97 (m),   Y: -2.23 (m),   Rot: -0.6276 (rads),   Rot:  -35.96 (deg),   Curve:   43.85 (rads/m)
Time: 2.47 (s),   Velocity: 0.21 (m/s),   Accel:  -5.26 (m/s/s),   X:  1.97 (m),   Y: -2.23 (m),   Rot: -0.5761 (rads),   Rot:  -33.01 (deg),   Curve:   51.19 (rads/m)
Time: 2.48 (s),   Velocity: 0.18 (m/s),   Accel:  -4.07 (m/s/s),   X:  1.97 (m),   Y: -2.23 (m),   Rot: -0.5190 (rads),   Rot:  -29.74 (deg),   Curve:   59.69 (rads/m)
