Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 3.71 (s),   Velocity: 2.53 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.95 (m),   Y:  1.38 (m),   Rot: -0.2593 (rads),   Rot:  -14.86 (deg),   Curve:    1.05 (rads/m)
Time: 3.73 (s),   Velocity: 2.48 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.00 (m),   Y:  1.37 (m),   Rot: -0.2060 (rads),   Rot:  -11.81 (deg),   Curve:    1.16 (rads/m)
Time: 3.74 (s),   Velocity: 2.42 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.04 (m),   Y:  1.36 (m),   Rot: -0.1507 (rads),   Rot:   -8.64 (deg),   Curve:    1.26 (rads/m)
Time: 3.76 (s),   Velocity: 2.36 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.09 (m),   Y:  1.36 (m),   Rot: -0.0942 (rads),   Rot:   -5.40 (deg),   Curve:    1.33 (rads/m)
Time: 3.78 (s),   Velocity: 2.31 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.13 (m),   Y:  1.36 (m),   Rot: -0.0374 (rads),   Rot:   -2.14 (deg),   Curve:    1.38 (rads/m)
Time: 3.80 (s),   Velocity: 2.26 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.17 (m),   Y:  1.35 (m),   Rot:  0.0184 (rads),   Rot:    1.06 (deg),   Curve:    1.38 (rads/m)
Time: 3.82 (s),   Velocity: 2.21 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.21 (m),   Y:  1.36 (m),   Rot:  0.0722 (rads),   Rot:    4.14 (deg),   Curve:    1.35 (rads/m)
Time: 3.83 (s),   Velocity: 2.15 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.24 (m),   Y:  1.36 (m),   Rot:  0.1226 (rads),   Rot:    7.03 (deg),   Curve:    1.28 (rads/m)
Time: 3.85 (s),   Velocity: 2.10 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.28 (m),   Y:  1.37 (m),   Rot:  0.1687 (rads),   Rot:    9.67 (deg),   Curve:    1.17 (rads/m)
Time: 3.89 (s),   Velocity: 1.99 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.35 (m),   Y:  1.38 (m),   Rot:  0.2445 (rads),   Rot:   14.01 (deg),   Curve:    0.86 (rads/m)
Time: 3.93 (s),   Velocity: 1.88 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.43 (m),   Y:  1.40 (m),   Rot:  0.2946 (rads),   Rot:   16.88 (deg),   Curve:    0.49 (rads/m)
Time: 3.97 (s),   Velocity: 1.75 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.50 (m),   Y:  1.42 (m),   Rot:  0.3173 (rads),   Rot:   18.18 (deg),   Curve:    0.12 (rads/m)
Time: 4.01 (s),   Velocity: 1.62 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.57 (m),   Y:  1.45 (m),   Rot:  0.3129 (rads),   Rot:   17.93 (deg),   Curve:   -0.22 (rads/m)
Time: 4.06 (s),   Velocity: 1.46 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.64 (m),   Y:  1.47 (m),   Rot:  0.2836 (rads),   Rot:   16.25 (deg),   Curve:   -0.51 (rads/m)
Time: 4.12 (s),   Velocity: 1.29 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.72 (m),   Y:  1.49 (m),   Rot:  0.2328 (rads),   Rot:   13.34 (deg),   Curve:   -0.72 (rads/m)
Time: 4.19 (s),   Velocity: 1.07 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.81 (m),   Y:  1.51 (m),   Rot:  0.1649 (rads),   Rot:    9.45 (deg),   Curve:   -0.84 (rads/m)
Time: 4.29 (s),   Velocity: 0.77 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.90 (m),   Y:  1.52 (m),   Rot:  0.0854 (rads),   Rot:    4.89 (deg),   Curve:   -0.88 (rads/m)
Time: 4.55 (s),   Velocity: 0.00 (m/s),   Accel:  -3.00 (m/s/s),   X:  9.00 (m),   Y:  1.52 (m),   Rot: -0.0000 (rads),   Rot:   -0.00 (deg),   Curve:   -0.84 (rads/m)


Trajectory Summary: Total Seconds: 4.55 (s); Total points in the Trajectory: 157
<EOF>
